Lemma,Sense,Word Class,Year,Quotation,Source,Note
起訴,/,verb,1887,若非檢察官有所起訴,黃遵憲『日本國志·刑法志一』,
起義,2,verb,1833,,K. F. A. Gützlaff『東西洋考每月統記傳』, can't get access to the source
氣孔,/,noun,1903,,汪榮寶等『新爾雅‧釋植物』,
棄權,/,verb,1887,被害人棄權或私和,黃遵憲『日本國志·刑法志一』,
汽車,2,noun,1855,,B. Hobson『博物新編』,didn't find the word
汽燈,/,noun,1908,,李杕『新名詞評議』,
汽水,2,noun,1886,,洪士提反譯 『萬國藥方』卷一,
契據,/,noun,1872,Deed((document)Deed),盧公明 『英華萃林韻府』,
鉛筆,/,noun,1815,Blacklead pencil 鉛筆,"R. Morrison, _A Dictionary of the Chinese Language in three parts_",
前部,/,noun,1908,Vaward (The forepart，前部),顏惠慶 『英華大辭典』,
前言,/,noun,1857,,A. Wylie『六合叢談』,
前葉,/,noun,1831,腦下垂體的前面部分,B.Hobson『全體新論』卷一,
潛伏期,2,noun,1908,Latent period the regular time in which a disease is supposedto be existing without manifesting itself (醫)病之隱匿期，潛伏期),顏惠慶『英華大辭典』,
槍刺,/,noun,1908,Tilt(A thrust，槍刺，槍衝),顏惠慶 『英華大辭典』,
槍彈,/,noun,1857,,A. Wylie『六合叢談』,
槍械,/,noun,1857,,A. Wylie『六合叢談』,
強加,/,noun,1857,,A. Wylie『六合叢談』,
強奸,/,verb,1857,,A. Wylie『六合叢談』,
牆腳,/,noun,1891,foundation,湛約翰 『英粵字典』,
旗幟,/,noun,1857,,A. Wylie『六合叢談』, might not be the same meaning given in Huang
